Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,52;0,05;0,05;932;41;41
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,63;0,06;0,06;932;100;100
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,84;0,10;0,10;939;37;37
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,64;0,06;0,06;941;54;54
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,76;0,20;0,20;945;76;57
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-1,48;0,23;0,23;950;63;63
Brittany, France;Arun;Stephan et al. (2015);foraminifera;48,290;-4,240;-0,61;0,20;0,20;951;83;175
Louisiana, USA;Lydia;Gonzalez and Tornqvist (2009);peat;29,878;-91,783;-0,84;0,04;0,04;952;46;46
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,35;0,20;0,20;952;315;315
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,24;0,16;0,16;962;41;61
Massachusetts, USA;Barnstable;"Stuiver et al. (1963); Compiled in Englehart and Horton (2012)";plants;41,730;-70,320;-2,03;0,56;0,56;963;244;244
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,280;-72,650;-1,61;0,32;0,32;965;190;190
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,46;0,05;0,05;966;39;39
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,83;0,09;0,09;967;37;37
