Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,26;0,16;0,16;1557;88;88
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,72;0,05;0,05;1559;38;38
Connecticut, USA;Barn Island;Donnelly et al. (2004b);plants;41,331;-71,864;-0,69;0,04;0,04;1561;82;82
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,27;0,07;0,07;1562;55;55
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,57;0,18;0,18;1567;44;43
New Jersey, USA;Whale Beach;"Donnelly et al. (2001); Compiled in Horton et al. (2013)";plants;39,180;-74,670;-0,79;0,40;0,40;1568;93;93
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;0,00;0,17;0,17;1570;74;74
Connecticut, USA;Barn Island;Donnelly et al. (2004b);plants;41,331;-71,864;-0,63;0,05;0,05;1570;86;86
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,63;0,03;0,03;1571;32;32
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;0,01;0,16;0,16;1573;107;107
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;-1,08;0,21;0,21;1574;90;90
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,65;0,05;0,05;1575;37;37
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,25;0,20;0,20;1577;215;215
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,17;0,21;0,21;1578;88;88
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,09;0,13;0,13;1579;89;89
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,84;0,06;0,06;1579;99;214
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,87;0,20;0,20;1580;89;89
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,17;0,36;0,36;1580;80;80
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,77;0,16;0,16;1582;59;69
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;0,00;0,08;0,08;1583;92;92
Massachusetts, USA;Revere;Donnelly (2006);plants;42,431;-71,008;-0,58;0,07;0,07;1584;98;98
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,20;0,35;0,35;1588;34;34
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,66;0,06;0,06;1590;34;34
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,26;0,07;0,07;1591;56;56
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,59;0,03;0,03;1591;27;27
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,05;0,06;0,06;1594;30;30
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;-0,28;0,11;0,11;1595;38;38
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;-0,83;0,07;0,07;1599;84;84
Cook Islands;Rarotonga;Goodwin and Harvey (2008);coral microatoll;-21,230;-159,780;0,15;0,05;0,05;1600;119;119
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,42;0,06;0,06;1600;90;90
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,20;0,36;0,36;1601;105;105
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,00;0,09;0,09;1604;30;30
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,56;0,03;0,03;1604;27;27
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,69;0,16;0,16;1606;59;70
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,64;0,20;0,20;1612;205;205
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,97;0,09;0,09;1612;27;27
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,64;0,03;0,03;1623;28;28
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,02;0,36;0,36;1625;34;34
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,25;0,07;0,07;1628;59;59
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,63;0,06;0,06;1629;38;38
Massachusetts, USA;Barnstable;"Redfield and Rubin (1962); Compiled in Englehart and Horton (2012)";plants;41,700;-70,360;-0,03;0,67;0,67;1629;321;321
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,51;0,18;0,18;1630;32;42
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,79;0,06;0,06;1637;85;224
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,59;0,05;0,05;1639;40;40
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,63;0,03;0,03;1641;29;29
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,91;0,13;0,13;1645;15;15
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,59;0,04;0,04;1648;40;40
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,12;0,35;0,35;1649;93;93
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,62;0,03;0,03;1650;28;28
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,60;0,16;0,16;1651;66;56
Connecticut, USA;Barn Island;Donnelly et al. (2004b);plants;41,331;-71,864;-0,53;0,05;0,05;1655;27;27
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,21;0,20;0,20;1655;195;195
Spain;Urdaibai;Leorri et al. (2012);foraminifera;43,420;-2,950;1,59;0,75;0,75;1655;145;145
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,19;0,14;0,14;1657;30;30
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,58;0,04;0,04;1657;40;40
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,20;0,36;0,36;1661;37;37
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,91;0,09;0,09;1661;12;12
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,36;0,18;0,18;1666;21;19
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,57;0,03;0,03;1667;26;26
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,39;0,06;0,06;1669;25;25
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,57;0,04;0,04;1676;36;36
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,23;0,07;0,07;1676;65;65
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,61;0,16;0,16;1677;68;37
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,15;0,15;0,15;1678;30;30
Cook Islands;Rarotonga;Goodwin and Harvey (2008);coral microatoll;-21,230;-159,780;0,15;0,05;0,05;1685;135;135
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,88;0,11;0,11;1687;22;22
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,41;0,18;0,18;1691;16;17
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,56;0,03;0,03;1692;29;29
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,56;0,06;0,06;1697;29;29
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,05;0,36;0,36;1698;69;69
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,24;0,35;0,35;1699;110;110
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,22;0,14;0,14;1699;30;30
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,85;0,11;0,11;1700;23;23
Massachusetts, USA;Wood Island;Kemp et al. (2011);plants;42,238;-70,778;-0,35;0,06;0,06;1700;50;50
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,61;0,16;0,16;1705;61;32
New Jersey, USA;Whale Beach;"Donnelly et al. (2001); Compiled in Horton et al. (2013)";plants;39,180;-74,670;-0,89;0,40;0,40;1705;245;245
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,21;0,20;0,20;1705;170;170
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,75;0,06;0,06;1706;119;204
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,24;0,15;0,15;1706;16;19
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,36;0,18;0,18;1710;5;6
Massachusetts, USA;Barnstable;"Stuiver et al. (1963); Compiled in Englehart and Horton (2012)";plants;41,730;-70,300;-0,56;0,56;0,56;1710;240;240
Massachusetts, USA;Barnstable;"Redfield and Rubin (1962); Compiled in Englehart and Horton (2012)";plants;41,700;-70,320;-0,12;0,67;0,67;1712;238;238
Connecticut, USA;Barn Island;Donnelly et al. (2004b);plants;41,331;-71,864;-0,47;0,05;0,05;1713;13;13
Cook Islands;Rarotonga;Goodwin and Harvey (2008);coral microatoll;-21,230;-159,780;-0,20;0,05;0,05;1715;50;50
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,53;0,03;0,03;1715;33;33
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,10;0,08;0,08;1720;90;90
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,08;0,16;0,16;1720;30;30
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,03;0,13;0,13;1722;89;89
North Carolina, USA;Hatteras Island;Horton et al. (2009);plants;35,520;-75,480;-0,54;0,10;0,10;1722;228;228
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,71;0,06;0,06;1723;97;163
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;-0,54;0,12;0,12;1726;86;86
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,52;0,05;0,05;1726;21;21
Greenland;Sisimiut;Long et al. (2012);diatoms;66,491;-53,607;-0,09;0,16;0,16;1727;87;87
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,54;0,03;0,03;1727;33;33
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,22;0,15;0,15;1727;27;23
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,83;0,11;0,11;1727;32;32
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;-0,28;0,11;0,11;1728;85;85
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,45;0,18;0,18;1728;10;9
North Carolina, USA;Hatteras Island;Horton et al. (2009);plants;35,230;-75,680;-0,86;0,27;0,27;1732;218;218
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;-0,02;0,35;0,35;1732;85;85
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;-0,40;0,12;0,12;1736;84;84
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,280;-72,640;-0,35;0,26;0,26;1736;214;214
New Jersey, USA;Whale Beach;"Donnelly et al. (2001); Compiled in Horton et al. (2013)";plants;39,180;-74,670;-0,94;0,40;0,40;1736;214;214
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,10;0,36;0,36;1737;53;53
New Jersey, USA;Brigantine Marsh;"Donnelly et al. (2004a); Compiled in Horton et al. (2013)";plants;39,420;-74,350;-0,85;0,34;0,34;1737;213;213
New Jersey, USA;Whale Beach;"Donnelly et al. (2001); Compiled in Horton et al. (2013)";plants;39,180;-74,670;-0,66;0,40;0,40;1737;213;213
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,45;0,18;0,18;1738;15;13
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,66;0,06;0,06;1739;75;122
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,47;0,07;0,07;1739;26;26
New Jersey, USA;Whale Beach;"Donnelly et al. (2001); Compiled in Horton et al. (2013)";plants;39,180;-74,670;-0,55;0,40;0,40;1740;210;210
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;-0,32;0,04;0,04;1741;86;86
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,17;0,20;0,20;1741;155;155
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,16;0,14;0,14;1741;30;30
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,40;0,19;0,19;1743;15;14
Greenland;Nanortalik;Long et al. (2012);diatoms;60,140;-45,240;-0,29;0,11;0,11;1745;81;81
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,20;0,15;0,15;1747;30;25
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,50;0,05;0,05;1751;27;27
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,54;0,16;0,16;1753;49;52
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,62;0,06;0,06;1755;53;81
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,79;0,11;0,11;1756;48;48
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,38;0,18;0,18;1757;18;18
Cook Islands;Rarotonga;Goodwin and Harvey (2008);coral microatoll;-21,230;-159,780;0,30;0,05;0,05;1760;60;60
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,48;0,03;0,03;1760;29;29
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,26;0,14;0,14;1762;30;30
Spain;Bilbao;Leorri et al. (2012);foraminifera;43,420;-2,950;-0,80;0,75;0,75;1763;63;63
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,60;0,06;0,06;1764;42;61
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,47;0,06;0,06;1764;24;24
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;-0,14;0,10;0,05;1766;115;185
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,41;0,18;0,18;1766;19;20
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,18;0,15;0,15;1767;30;25
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,00;0,35;0,35;1768;85;85
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,39;0,17;0,17;1771;20;20
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,58;0,06;0,06;1772;31;40
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,05;0,36;0,36;1772;60;60
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,55;0,16;0,16;1776;38;54
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,44;0,06;0,06;1777;18;18
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,25;0,07;0,07;1778;113;113
Greenland;Aasiaat;Long et al. (2012);diatoms;68,700;-52,270;-0,16;0,21;0,21;1778;113;113
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,09;0,20;0,20;1779;145;145
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,52;0,06;0,06;1780;20;20
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,27;0,16;0,16;1783;30;30
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,03;0,35;0,35;1785;78;78
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,75;0,10;0,10;1785;49;49
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,43;0,03;0,03;1785;21;21
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,41;0,18;0,18;1787;22;21
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,16;0,15;0,15;1787;26;29
Connecticut, USA;Barn Island;Donnelly et al. (2004b);plants;41,331;-71,864;-0,42;0,05;0,05;1789;9;9
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,51;0,06;0,06;1790;18;20
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,70;0,14;0,14;1790;51;51
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,12;0,35;0,35;1791;80;80
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,45;0,06;0,06;1793;20;20
North Carolina, USA;Northern Frisco;Horton et al. (2009);plants;35,260;-75,520;-0,71;0,35;0,35;1795;155;155
Santa Catarina, Brazil;Ponta de Itapiruba;Angulo et al. (1999);vermetid;-28,338;-48,699;0,20;0,50;0,50;1796;155;155
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-0,07;0,13;0,13;1798;152;152
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,49;0,06;0,06;1800;16;20
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,60;0,16;0,16;1802;22;55
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,280;-72,650;-0,80;0,32;0,32;1802;148;148
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;-0,51;0,23;0,23;1802;148;148
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,18;0,14;0,14;1803;30;30
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,71;0,10;0,10;1803;45;45
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,06;0,36;0,36;1804;47;47
Louisiana, USA;Patout Canal;Gonzalez and Tornqvist (2009);peat;29,858;-91,729;-0,27;0,04;0,04;1807;147;147
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,14;0,15;0,15;1808;31;29
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,280;-72,650;-0,77;0,32;0,32;1809;141;141
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,270;-72,680;-0,35;0,26;0,26;1809;141;141
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,31;0,19;0,19;1809;25;22
Connecticut, USA;Hammock River;"van de Plassche et al. (1998); Compiled in Englehart and Horton (2012)";plants;41,270;-72,510;0,17;0,13;0,13;1810;140;140
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,19;0,18;0,18;1810;67;67
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,47;0,06;0,06;1810;13;21
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,42;0,06;0,06;1811;25;25
New Jersey, USA;Whale Beach;"Donnelly et al. (2001); Compiled in Horton et al. (2013)";plants;39,180;-74,670;-0,66;0,40;0,40;1813;137;137
New Zealand;Pounawea;Gehrels et al. (2008);foraminifera;-46,470;169,700;-0,31;0,05;0,05;1815;1;1
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,280;-72,650;-0,22;0,26;0,26;1816;134;134
New Jersey, USA;Whale Beach;"Donnelly et al. (2001); Compiled in Horton et al. (2013)";plants;39,180;-74,670;-0,57;0,40;0,40;1817;133;133
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,44;0,06;0,06;1820;11;21
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,29;0,10;0,10;1821;30;30
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,07;0,35;0,35;1821;60;60
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,41;0,07;0,07;1822;30;30
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,35;0,35;0,35;1823;45;45
Connecticut, USA;Barn Island;Donnelly et al. (2004b);plants;41,331;-71,864;-0,40;0,05;0,05;1825;25;25
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,46;0,03;0,03;1826;16;16
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,27;0,10;0,10;1827;15;15
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,68;0,11;0,11;1829;30;30
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,06;0,20;0,20;1829;120;120
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,27;0,19;0,19;1830;26;22
Spain;Plentzia Estuary;Leorri et al. (2008);foraminifera;43,399;-2,945;-0,23;0,17;0,17;1830;53;53
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,42;0,06;0,06;1830;10;20
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;-0,14;0,10;0,05;1831;126;120
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,12;0,15;0,15;1831;26;29
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,41;0,05;0,05;1831;33;33
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,17;0,07;0,07;1832;40;40
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,46;0,04;0,04;1833;18;18
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,25;0,19;0,19;1834;26;23
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;0,03;0,35;0,35;1834;48;48
Santa Catarina, Brazil;Ponta de Itapiruba;Angulo et al. (1999);vermetid;-28,338;-48,699;0,20;0,50;0,50;1835;116;116
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,41;0,06;0,06;1840;10;18
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,39;0,06;0,06;1840;35;35
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,11;0,15;0,15;1842;20;20
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,08;0,35;0,35;1844;55;55
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-0,39;0,06;0,06;1849;35;35
Cook Islands;Rarotonga;Goodwin and Harvey (2008);coral microatoll;-21,230;-159,780;-0,20;0,05;0,05;1850;25;25
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,15;0,18;0,18;1850;28;25
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,42;0,06;0,06;1850;10;17
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,40;0,03;0,03;1852;19;19
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,25;0,35;0,35;1852;25;25
Tasmania, Australia;Little Swanport;Gehrels et al. (2012);foraminifera;-42,344;147,930;-0,31;0,10;0,10;1858;16;16
Iceland;Vioarholmi;Saher et al. (2015);foraminifera;64,763;-22,434;-0,15;0,19;0,19;1859;27;26
Isle of Wight, UK;Newtown Estuary;Long et al. (2014);foraminifera;50,716;-1,389;-0,10;0,15;0,15;1860;18;27
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;-0,14;0,10;0,05;1860;140;91
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;-0,14;0,10;0,05;1860;140;91
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-0,41;0,06;0,06;1860;10;15
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,66;0,10;0,10;1861;7;7
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-0,61;0,12;0,12;1864;8;8
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,06;0,35;0,35;1864;28;28
Spain;Urdaibai Estuary;Garcia-Artola et al. (2009);foraminifera;43,372;-2,679;-0,10;0,15;0,15;1864;21;21
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-0,40;0,03;0,03;1865;18;18
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-0,44;0,16;0,16;1865;36;10
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,15;0,07;0,07;1865;12;12
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,02;0,20;0,20;1867;100;100
